date,R2,MAE,MSE,RMSE
2017-07-02,-8.65936499949266,104.72269557142859,12162.50995633633,110.28377014019937
2017-07-03,0.003838881080565515,65.48619704166667,6634.551636510354,81.4527570835411
2017-07-04,0.1256295673436424,50.34356595833333,3550.8810169486824,59.589269310410934
2017-07-05,0.5637983374741388,30.21051245833333,1110.5760530598247,33.325306496112304
2017-07-06,0.07343084965264501,51.362600791666665,3982.779891958313,63.10926946145322
2017-07-07,0.46266659889448514,37.24376583333333,1928.4242010038915,43.913826991095775
2017-07-08,0.3779638635044009,15.457845416666666,346.3918581333931,18.611605468991467
2017-07-09,-0.5991415201858734,59.809043749999994,5379.383889386257,73.34428327679163
2017-07-10,0.27890199140461525,17.69305270833333,598.8428507864052,24.471265819045918
2017-07-11,-1.1223515683914727,96.67713516666667,12300.57617757594,110.90796264279648
2017-07-12,0.19454811772688518,52.811628750000004,4726.235021564246,68.74761829739447
2017-07-13,0.2636220251154964,45.238676541666656,2862.9199932519446,53.5062612527912
2017-07-14,0.34852042522910254,42.64732995833334,2626.0194606776367,51.244701781527006
2017-07-15,-364.25294008945065,35.70030516666667,2000.0641610278471,44.722076886341576
2017-07-16,-1.846605006713161,3.983428125000001,23.495148282877476,4.847179415173063
2017-07-17,-1.1894868956818025,67.34074179166667,8655.085395618982,93.03271142785736
2017-07-18,0.06609980952705297,48.31369108333333,3411.7564756493884,58.41024290010604
2017-07-19,0.2172657341028722,44.557995500000004,2946.2113548940993,54.279013945484486
2017-07-20,0.21137732891369831,43.72788791666667,2731.7466553482686,52.26611383437905
2017-07-21,0.3288869886640784,43.36838904166666,2627.3387658770457,51.25757276614886
2017-07-22,-332.2129326804091,34.779314875000004,2030.6300984237769,45.06251322800113
2017-07-23,-6.542095829243154,5.855253208333334,40.53859617066081,6.366992710115256
2017-07-24,-1.3887266488301906,69.75606933333334,8675.375438930532,93.141695490959
2017-07-25,-0.04347175311911977,53.493481,4007.544845362554,63.305172342886436
2017-07-26,0.24449574191675172,42.41580045833334,2570.4509971997236,50.69961535554016
2017-07-27,0.23460646646952843,44.73387858333333,2831.87620830378,53.215375675680235
2017-07-28,0.34014434473122424,42.470797375000004,2665.0028695117708,51.62366578916854
2017-07-29,-316.37659486792046,36.22105199999999,1887.1299940010722,43.44110949321014
2017-07-30,-6.806460455838757,6.490513333333332,46.48896689748555,6.8182818141732415
2017-07-31,-1.2036978316218172,71.051735875,9558.229556393675,97.76619843480503
2017-08-01,-547.9436601757681,44.28362083333334,3235.2829464275405,56.87954769886572
2017-08-02,-2.245171919647023,115.58011495833334,19314.141578825835,138.9753272305046
2017-08-03,0.03424785536602226,59.596850875,5626.815069871336,75.01209948982455
2017-08-04,0.6586433903009783,15.857519958333333,562.4898913193509,23.716869340605452
2017-08-05,-1.0271212579758435,86.76882516666667,9839.63161895086,99.19491730401745
2017-08-06,0.287114684024229,45.94860116666666,2828.561141257202,53.18421891179001
2017-08-07,-403.22612294023537,45.44536304166667,2825.069844346572,53.15138609995578
2017-08-08,-1.951197443533331,87.86669020833334,11728.377542078544,108.29763405577494
2017-08-09,0.4365916616265788,37.03955595833333,2045.9673607065379,45.232370717292035
2017-08-10,0.14904738784309746,19.009336375,822.0730673530479,28.67181660364491
2017-08-11,-0.15292928389095417,66.62315629166666,7685.7178075309785,87.66822575785926
2017-08-12,0.6095407683773417,16.486872,360.66213898883876,18.99110683948776
2017-08-13,-314.33373755718566,30.093888499999995,1091.677516079537,33.04054351973552
2017-08-14,-1.2146696056892399,74.26088816666667,10118.100840405476,100.58877094589373
2017-08-15,0.10269811555641972,47.30450333333334,3117.4833649259285,55.834428132881676
2017-08-16,0.22543356935302583,43.010552958333335,2746.6936773920465,52.408908378176
2017-08-17,0.3531472495596396,37.457553958333335,2007.4411033588658,44.80447637634956
2017-08-18,0.45702076527577795,36.650237125,1898.2779788632968,43.56923202058187
2017-08-19,-591.2432229735924,34.67627433333333,2016.261515072408,44.90280074864382
2017-08-20,-0.8527887482278491,2.4684266249999998,9.607337549081628,3.0995705426851683
2017-08-21,-1.2139195408753758,71.37039125,9564.656008168678,97.79905934194193
2017-08-22,0.22499405864921296,42.716131499999996,2580.041509462239,50.79410900352755
2017-08-23,0.40204314309813316,35.585434791666664,1868.3641866733924,43.22457850197492
2017-08-24,0.3764654061337044,36.48876725,1874.1021570785845,43.29090155077143
2017-08-25,0.5556632327445674,30.150357541666665,1279.2707403431825,35.76689447440444
2017-08-26,-401.21908363694007,34.916158458333335,2070.3847456632507,45.50148069748116
2017-08-27,-4.5298394995627635,3.3387539583333337,15.409354745323638,3.925475098038916
2017-08-28,-1.1985593379314983,62.36153604166666,7275.322727737257,85.29550238867965
2017-08-29,0.15477440778971596,41.075764166666666,2345.2531241359225,48.427813538667245
2017-08-30,0.2614250285449592,38.47925525,2061.1591867600714,45.39999104361224
2017-08-31,0.3148935040213764,36.9384335,1913.8537311483403,43.74761400520422
2017-09-01,0.3936499615783111,43.48829408333334,3353.776392737034,57.91179838976712
2017-09-02,-0.2778244466819184,74.96262229166666,7624.76373022961,87.31989309561487
2017-09-03,0.09226700188650139,56.944682666666665,4852.3228791173615,69.65861668966275
2017-09-04,0.6680496583966884,17.36367641666667,614.7113576593939,24.793373261002504
2017-09-05,-1.018711480164864,83.996027875,9096.40473659241,95.37507397948592
2017-09-06,0.31896410919206286,41.15422066666667,2548.86088198706,50.4862444828991
2017-09-07,-293.60739967177636,40.88949229166667,2426.9446099012325,49.26402957433783
2017-09-08,-2.0173866973496053,87.38663404166668,11586.6318992635,107.64121840291246
